#gene	pHaplo	pTriplo
CACNA1C	0.99898184581082	1
ZNF462	1	0.987995995573708
CHD8	0.991649600531021	0.999999986508108
GRIN2B	0.996808517025246	0.999999958700358
ARID1A	0.998061218346657	0.999999957810224
CREBBP	0.999309129893693	0.999999907999053
MTOR	0.991993663853304	0.999999801059559
NSD1	0.999226973387483	0.999999721750733
DYNC1H1	0.975054205137356	0.999999682721043
SMARCC2	0.95629240782764	0.99999967212335
PHOX2B	0.980692356166629	0.999999666849327
SHH	0.998589550787969	0.999999361989936
POU3F3	0.845426883959206	0.99999935807844
EN1	0.893200653121775	0.999999188138929
GRIN1	0.929135372700539	0.999999020287528
PPP1CB	0.989770112559336	0.999998922628943
YY1	0.968868081515719	0.999998667794658
COL2A1	0.994179768497895	0.999998498851128
POLR2B	0.9325771869208	0.999998308041184
MAP2K1	0.923844711853197	0.99999827933911
RBBP4	0.981887902761185	0.999998069298792
SMARCA4	0.991387626515032	0.999997915986035
TMEM203	0.588914005460103	0.999997897014364
SUPT16H	0.9714180628952	0.999997588203931
ZNF362	0.860261202504608	0.999997547300976
PAX6	0.970576146703408	0.999997027107373
TP63	0.997567314435736	0.999996874493052
PDE4D	0.974785711656601	0.999996576720895
FBXW11	0.992441541819255	0.999994964800534
KAT5	0.150038577951272	0.999994050344364
PRKAR1A	0.981807402244676	0.999993898155397
NACC1	0.863621640409412	0.999993430453422
SMU1	0.938012888322353	0.999993407214548
SCN2A	0.964925380721977	0.999992698173089
CLTC	0.993029781553318	0.999992683846929
ATP1A1	0.974844385004221	0.999992564293308
UNC79	0.994483648760671	0.999992472853449
CACNA1E	0.990531841694823	0.99999163291897
UPF1	0.917447256670064	0.999991605478293
POLR2A	0.988273735268976	0.999991184560553
TFAP2A	0.99878459806771	0.9999908259947
UBTF	0.931180593491423	0.999989151051551
BRAF	0.995170913745456	0.999987270877483
TUBB3	0.719469313002495	0.999986274629769
TUBB4A	0.465284707775407	0.999986258992103
HECW2	0.988139059227163	0.999985735420904
DDX23	0.65892822233363	0.999985432102558
KCND3	0.974657352884802	0.999985364714292
ERF	0.898701289203303	0.999985007746423
EZH2	0.993231625013807	0.999984997542154
U2AF2	0.955063719098887	0.99998325479346
VCP	0.926572421297359	0.999982625374046
MED13L	0.999232385641794	0.999981619978257
SUPT6H	0.985064459687028	0.999981127249215
STAT3	0.982935589499151	0.999981112800306
